tool	yearPublished	journal	impactFactor(2017)	Journal H5-index(2017)	totalCitations(2017)	totalCitations(2020)	H-index: (Corresponding author)(2017)	M-index (Corresponding author)(2017)	H (2020)	M (2020)	Versions	Commits (Github)	Contributers (Github)	Github repo	fullCite	
gojobori	1982	Journal of Molecular Evolution	1.680	23	355	438	NA	NA	Dan Graur:57; Takashi Gojobori:95	2.16	NA	NA	NA	NA	Gojobori, T., Li, W. H., & Graur, D. (1982). Patterns of nucleotide substitution in pseudogenes and functional genes. Journal of Molecular Evolution, 18(5), 360-369.	
goldman	1996	Journal of molecular biology	4.333	62	123	152	Nick Goldman:49	Nick Goldman:2.45	Nick Goldman:57	1.78	NA	NA	NA	NA	Goldman, N., Thorne, J. L., & Jones, D. T. (1996). Using evolutionary trees in protein secondary structure prediction and other comparative sequence analyses. Journal of molecular biology, 263(2), 196-208.	
gossamer	2011	Bioinformatics	4.900	106	60	140	Thomas Conway:15	Thomas Conway:0.71	Thomas Conway:18	0.69	1	26	2	https://github.com/data61/gossamer	Conway, T. C., & Bromage, A. J. (2011). Succinct data structures for assembling large genomes. Bioinformatics, 27(4), 479-486.	
gottcha	2015	Nucleic acids research	9.112	172	3	108	NA	NA	Patrick S. G. Chain:64	2.91	1	21	2	https://github.com/poeli/GOTTCHA	Freitas, Tracey Allen K., Po-E. Li, Matthew B. Scholz, and Patrick SG Chain. "Accurate read-based metagenome characterization using a hierarchical suite of unique signatures." Nucleic acids research (2015): gkv180.	
gpfates	2017	Science immunology	NA	NA	NA	144	NA		Sarah A. Teichmann:89	3.87	1	15	2	https://github.com/Teichlab/GPfates	Lönnberg, T., Svensson, V., James, K.R., Fernandez-Ruiz, D., Sebina, I., Montandon, R., Soon, M.S., Fogg, L.G., Nair, A.S., Liligeto, U. and Stubbington, M.J., 2017. Single-cell RNA-seq and computational analysis using temporal mixture modelling resolves Th1/Tfh fate bifurcation in malaria. Science immunology, 2(9).	
grandprix	2019	Bioinformatics	NA	NA	NA	17	NA		Sumon Ahmed:1	0.33	1	77	2	https://github.com/ManchesterBioinference/GrandPrix	Ahmed S, Rattray M, Boukouvalas A. GrandPrix: scaling up the Bayesian GPLVM for single-cell data. Bioinformatics. 2019 Jan 1;35(1):47-54.	
greedyft	1993	NA	NA	NA	605	48451	David Swofford:42	David Swofford:1.75	David Swofford:54	1.35	NA	NA	NA	NA	Swofford DL. PAUP: phylogenetic analysis using parsimony. Mac Version 3. 1. 1.(Computer program and manual).. 1993.	
gridss	2017	Genome research	NA	NA	NA	75	NA		Professor Tony Papenfuss:46	2.30	2.101	1967	11	https://github.com/PapenfussLab/gridss	Cameron DL, Schröder J, Penington JS, Do H, Molania R, Dobrovic A, Speed TP, Papenfuss AT. GRIDSS: sensitive and specific genomic rearrangement detection using positional de Bruijn graph assembly. Genome research. 2017 Dec 1;27(12):2050-60.	
grisl	2020	Bioinformatics	NA	NA	NA	10	NA		Jean-Philippe Vert:63	3.32	1	44	2	https://github.com/PCAubin/GRISLI	Aubin-Frankowski PC, Vert JP. Gene regulation inference from single-cell RNA-seq data with linear differential equations and velocity inference. Bioinformatics. 2020 Sep 15;36(18):4774-80.	
grnboost	2019	Bioinformatics	NA	NA	NA	40	NA		Stein Aerts:45	2.50	1.15	198	1	https://github.com/aertslab/arboreto	Moerman T, Aibar Santos S, Bravo González-Blas C, Simm J, Moreau Y, Aerts J, Aerts S. GRNBoost2 and Arboreto: efficient and scalable inference of gene regulatory networks. Bioinformatics. 2019 Jun 1;35(12):2159-61.	
grnvbem	2018	Bioinformatics	NA	NA	NA	41	NA		M. Sanchez-Castillo:6	0.60	1	34	1	https://github.com/mscastillo/GRNVBEM	Sanchez-Castillo M, Blanco D, Tienda-Luna IM, Carrion MC, Huang Y. A Bayesian framework for the inference of gene regulatory networks from time and pseudo-time series data. Bioinformatics. 2018 Mar 15;34(6):964-70.	
gromrd	2015	PeerJ	NA	NA	NA	17	NA		Andrey Grigoriev:19	0.63	1	NA	NA	NA	Smith SD, Kawash JK, Grigoriev A. GROM-RD: resolving genomic biases to improve read depth detection of copy number variants. PeerJ. 2015 Mar 17;3:e836.	
gsnap	2010	Bioinformatics	4.900	106	625	1744	NA	NA	NA	NA	NA	NA	NA	NA	Wu, T. D., & Nacu, S. (2010). Fast and SNP-tolerant detection of complex variants and splicing in short reads. Bioinformatics (Oxford, England), 26(7), 873–81. doi:10.1093/bioinformatics/btq057	
halc	2017	BMC Bioinformatics	NA	NA	NA	37	NA		NA	NA	NA	NA	NA	https://github.com/lanl001/halc	Bao E, Lan LX. HALC: high throughput algorithm for long read error correction. Bmc Bioinformatics. 2017;18(1):204.	
haploscore	2014	Molecular biology and evolution	NA	NA	NA	38	NA		Nicholas Eriksson:42	1.91	1	NA	NA	NA	Durand EY, Eriksson N, McLean CY. Reducing pervasive false-positive identical-by-descent segments detected by large-scale pedigree analysis. Molecular biology and evolution. 2014 Aug 1;31(8):2212-22.	
harmony	2019	Nature methods	NA	NA	NA	249	NA		Soumya Raychaudhuri:93	3.88	1.1	148	6	https://github.com/immunogenomics/harmony	Korsunsky I, Millard N, Fan J, Slowikowski K, Zhang F, Wei K, Baglaenko Y, Brenner M, Loh PR, Raychaudhuri S. Fast, sensitive and accurate integration of single-cell data with Harmony. Nature methods. 2019 Nov 18:1-8.	
heidge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
hhsearch	2005	Bioinformatics	NA	NA	NA	2308	NA		Johannes Söding:57	2.04	3.3	1352	20	https://github.com/soedinglab/hh-suite	Söding J. Protein homology detection by HMM–HMM comparison. Bioinformatics. 2005 Apr 1;21(7):951-60.	
hisat	2015	Nature methods	NA	NA	NA	5941	NA		Steven Salzberg:144	3.79	2.21	1458	15	https://github.com/DaehwanKimLab/hisat2	Kim D, Langmead B, Salzberg SL. HISAT: a fast spliced aligner with low memory requirements. Nature methods. 2015 Apr;12(4):357-60.	
hitec	2011	Bioinformatics	4.981	106	103	164	NA	NA	Lucian Ilie:28	1.08	NA	NA	NA	NA	Ilie, L., Fazayeli, F., & Ilie, S. (2011). HiTEC: accurate error correction in high-throughput sequencing data. Bioinformatics, 27(3), 295-302.	
hmmer	1998	Bioinformatics	4.900	106	3803	5460	Sean R. Eddy:71	Sean R. Eddy:4.18	Sean R. Eddy:91	3.03	3.31	1746	8	https://github.com/EddyRivasLab/hmmer	Eddy, Sean R. "Profile hidden Markov models." Bioinformatics 14, no. 9 (1998): 755-763.	
hshrec	2010	Bioinformatics	4.981	106	83	132	Leena Salmela:13	Leena Salmela:1.00	Leena Salmela:17	1.00	NA	NA	NA	NA	Salmela, L. (2010). Correction of sequencing errors in a mixed set of reads. Bioinformatics, 26(10), 1284-1290.	
hydra	2010	Genome research	NA	NA	NA	287	NA		Ira M Hall:28	1.56	1	NA	NA	NA	Quinlan AR, Clark RA, Sokolova S, Leibowitz ML, Zhang Y, Hurles ME, Mell JC, Hall IM. Genome-wide mapping and assembly of structural variant breakpoints in the mouse genome. Genome research. 2010 May 1;20(5):623-35.	
ibdseq	2013	The American Journal of Human Genetics	NA	NA	NA	15	NA		Brian Browning:43	2.15	1.1206	NA	NA	NA	Browning BL, Browning SR. Detecting identity by descent and estimating genotype error rates in sequence data. The American Journal of Human Genetics. 2013 Nov 7;93(5):840-51.	
icopydav	2018	PLoS One	NA	NA	NA	14	NA		Nita Parekh:14	0.47	1	51	NA	https://github.com/vogetihrsh/icopydav	Dharanipragada P, Vogeti S, Parekh N. iCopyDAV: Integrated platform for copy number variations—Detection, annotation and visualization. PLoS One. 2018 Apr 5;13(4):e0195334.	
idbatran	2013	Bioinformatics	NA	NA	NA	146	NA		Francis Chin:44	0.98	1.13	31	5	https://github.com/loneknightpy/idba	Peng Y, Leung HC, Yiu SM, Lv MJ, Zhu XG, Chin FY. IDBA-tran: a more robust de novo de Bruijn graph assembler for transcriptomes with uneven expression levels. Bioinformatics. 2013 Jul 1;29(13):i326-34.	
idbaud	2012	Bioinformatics	4.900	106	276	1710	NA	NA	NA	NA	NA	NA	NA	NA	Peng, Y., Leung, H. C., Yiu, S. M., & Chin, F. Y. (2012). IDBA-UD: a de novo assembler for single-cell and metagenomic sequencing data with highly uneven depth. Bioinformatics, 28(11), 1420-1428.	
igtpduplossft	2010	BMC bioinformatics	2.576	74	42	81	Oliver Eulenstein:23	Oliver Eulenstein:1.28	Oliver Eulenstein:27	1.17	NA	NA	NA	NA	Chaudhary, R., Bansal, M. S., Wehe, A., Fernández-Baca, D., & Eulenstein, O. (2010). iGTP: A software package for large-scale gene tree parsimony analysis. BMC bioinformatics, 11(1), 574.	
inchworm	2011	Nature biotechnology	41.514	141	2253	10260	Nir Friedman:76	Nir Friedman:4.47	Nir Friedman:91	3.50	NA	NA	NA	NA	Grabherr, M. G., Haas, B. J., Yassour, M., Levin, J. Z., Thompson, D. A., Amit, I., ... & Regev, A. (2011). Full-length transcriptome assembly from RNA-Seq data without a reference genome. Nature biotechnology, 29(7), 644-652.	
indelminer	2015	BMC bioinformatics	NA	NA	NA	33	NA		Aakrosh Ratan:27	2.08	1.2	29	2	https://github.com/ratan-lab/indelMINER	Ratan A, Olson TL, Loughran TP, Miller W. Identification of indels in next-generation sequencing data. BMC bioinformatics. 2015 Dec 1;16(1):42.	
infernal	2002	BMC bioinformatics	2.576	74	249	305	Sean R. Eddy:71	Sean R. Eddy:4.18	Sean R. Eddy:91	3.03	1.13	1835	3	https://github.com/EddyRivasLab/infernal	Eddy, Sean R. "A memory-efficient dynamic programming algorithm for optimal alignment of a sequence to an RNA secondary structure." BMC bioinformatics3, no. 1 (2002): 18.	
infusion	2016	PLoS One	NA	NA	NA	21	NA		Thomas F. Meyer:103	2.34	1	NA	NA	NA	Okonechnikov K, Imai-Matsushima A, Paul L, Seitz A, Meyer TF, Garcia-Alcalde F. InFusion: advancing discovery of fusion genes and chimeric transcripts from deep RNA-sequencing data. PLoS One. 2016 Dec 1;11(12):e0167417.	
ingapsv	2011	Nucleic acids research	NA	NA	NA	85	NA		Ji Qi:36	2.12	1	NA	NA	NA	Qi J, Zhao F. inGAP-sv: a novel scheme to identify and visualize structural variation from paired end mapping data. Nucleic acids research. 2011 Jul 1;39(suppl_2):W567-75.	
intarna	2008	Bioinformatics	4.981	106	180	442	Rolf Backofen:37	Rolf Backofen:1.68	Rolf Backofen:53	1.77	3.2	999	5	https://github.com/BackofenLab/IntaRNA	Busch, A., Richter, A. S., & Backofen, R. (2008). IntaRNA: efficient prediction of bacterial sRNA targets incorporating target site accessibility and seed regions. Bioinformatics (Oxford, England), 24(24), 2849–56. doi:10.1093/bioinformatics/btn544	
jabba	2015	International Workshop on Algorithms in Bioinformatic	NA	NA	NA	16	NA		Jan Fostier:17	1.21	1	42	2	https://github.com/biointec/jabba	Miclotte G, Heydari M, Demeester P, Audenaert P, Fostier J. Jabba: hybrid error correction for long sequencing reads using maximal exact matches. Algorithms Bioinformatics (Wabi 2015). 2015;9289:175–88.	
jaffa	2015	Genome medicine	5.810	40	5	78	Alicia Oshlack:23	Alicia Oshlack:1.77	Alicia Oshlack:43	2.15	1.09	100	2	https://github.com/Oshlack/JAFFA	Davidson, N. M., Majewski, I. J., & Oshlack, A. (2015). JAFFA: High sensitivity transcriptome-focused fusion gene detection. Genome Med, 7(1), 43.	
jaffaassembly	2015	Genome medicine	NA	NA	NA	82	NA		Alicia Oshlack:44	3.14	1.09	141	2	https://github.com/Oshlack/JAFFA	Davidson NM, Majewski IJ, Oshlack A. JAFFA: High sensitivity transcriptome-focused fusion gene detection. Genome medicine. 2015 Dec;7(1):1-2.	
jaffadirect	2015	Genome medicine	NA	NA	NA	82	NA		Alicia Oshlack:44	3.14	1.09	141	2	https://github.com/Oshlack/JAFFA	Davidson NM, Majewski IJ, Oshlack A. JAFFA: High sensitivity transcriptome-focused fusion gene detection. Genome medicine. 2015 Dec;7(1):1-2.	
jaffahybrid	2015	Genome medicine	NA	NA	NA	82	NA		Alicia Oshlack:44	3.14	1.09	141	2	https://github.com/Oshlack/JAFFA	Davidson NM, Majewski IJ, Oshlack A. JAFFA: High sensitivity transcriptome-focused fusion gene detection. Genome medicine. 2015 Dec;7(1):1-2.	
kalign	2005	BMC bioinformatics	2.576	74	396	669	Timo Lassmann:31	Timo Lassmann:3.44	Timo Lassmann:45	2.50	3.23	222	4	https://github.com/TimoLassmann/kalign	Lassmann, Timo, and Erik LL Sonnhammer. "Kalign–an accurate and fast multiple sequence alignment algorithm." BMC bioinformatics 6, no. 1 (2005): 298.	
karect	2015	Bioinformatics	NA	NA	NA	48	NA		Amin Allam:4	0.24	1	15	1	https://github.com/aminallam/karect	Allam A, Kalnis P, Solovyev V. Karect: accurate correction of substitution, insertion and deletion errors for next-generation sequencing data. Bioinformatics. 2015 Nov 1;31(21):3421-8.	
kart	2017	Bioinformatics	NA	NA	NA	28	NA		Wen-Lian Hsu:46	1.12	2.56	200	2	https://github.com/hsinnan75/Kart/	Lin HN, Hsu WL. Kart: a divide-and-conquer algorithm for NGS read alignment. Bioinformatics. 2017 Aug 1;33(15):2281-7.	
kbsps	2009	NA	NA	NA	4	10	NA	NA	NA	NA	NA	NA	NA	NA	Palaga, Peter. "Extracting relations from biomedical texts using syntactic information." Mémoire de DEA, Technische Universität Berlin 138 (2009).	
khmer	2014	PloS one	NA	NA	NA	58	NA		C. Titus Brown:44	1.69	2.12	6672	74	https://github.com/dib-lab/khmer	Zhang Q, Pell J, Canino-Koning R, Howe AC, Brown CT. These are not the k-mers you are looking for: efficient online k-mer counting using a probabilistic data structure. PloS one. 2014 Jul 25;9(7):e101271.	
king	2010	Bioinformatics	NA	NA	NA	1019	NA		Wei-Min Chen:49	1.88	1	NA	NA	NA	Manichaikul A, Mychaleckyj JC, Rich SS, Daly K, Sale M, Chen WM. Robust relationship inference in genome-wide association studies. Bioinformatics. 2010 Nov 15;26(22):2867-73.	
kmergenie	2014	Bioinformatics	NA	NA	NA	474	NA		Paul Medvedev:21	1.11	1.7051	NA	NA	NA	Chikhi R, Medvedev P. Informed and automated k-mer size selection for genome assembly. Bioinformatics. 2014 Jan 1;30(1):31-7.	
kmerstream	2014	Bioinformatics	NA	NA	NA	42	NA		Bjarni V. Halldorsson:45	2.25	1.1	22	1	https://github.com/pmelsted/KmerStream	Melsted P, Halldórsson BV. KmerStream: streaming algorithms for k-mer abundance estimation. Bioinformatics. 2014 Dec 15;30(24):3541-7.	
kraken	2014	Genome biology	10.800	83	80	1968	Derrick Wood:4	Derrick Wood:2	Derrick Wood:6	0.75	1.11	133	7	https://github.com/DerrickWood/kraken	Wood, Derrick E., and Steven L. Salzberg. "Kraken: ultrafast metagenomic sequence classification using exact alignments." Genome Biol 15, no. 3 (2014): R46.	
kthse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
last	2012	Nucleic acids research	NA	NA	NA	52	NA		Martin Frith:41	1.86	1	43	1	https://github.com/mcfrith/last-genotype	Frith MC, Mori R, Asai K. A mostly traditional approach improves alignment of bisulfite-converted DNA. Nucleic acids research. 2012 Jul 1;40(13):e100-.	
lasv	2015	Nucleic acids research	NA	NA	NA	18	NA		Zhiping Weng:99	3.81	1.03	38	1	https://github.com/JialiUMassWengLab/laSV	Zhuang J, Weng Z. Local sequence assembly reveals a high-resolution profile of somatic structural variations in 97 cancer genomes. Nucleic acids research. 2015 Sep 30;43(17):8146-56.	
leap	2017	Bioinformatics	NA	NA	NA	42	NA		li yunming:113	3.14	NA	NA	NA	NA	Specht AT, Li J. LEAP: constructing gene co-expression networks for single-cell RNA-sequencing data using pseudotime ordering. Bioinformatics. 2017 Mar 1;33(5):764-6.	
leidnl	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
liger	2018	bioRxiv	NA	NA	NA	9	NA		Evan Macosko:22	1.47	1	564	10	https://github.com/welch-lab/liger	Welch J, Kozareva V, Ferreira A, Vanderburg C, Martin C, Macosko E. Integrative inference of brain cell similarities and differences from single-cell genomics. bioRxiv. 2018 Jan 1:459891.	
lighter	2014	Genome biology	NA	NA	NA	178	NA		Ben Langmead:29	2.64	1.12	225	5	https://github.com/mourisl/Lighter/	Song L, Florea L, Langmead B. Lighter: fast and memory-efficient sequencing error correction without counting. Genome biology. 2014 Nov 1;15(11):509.	
limma	2003	Methods	NA	NA	NA	2145	NA		Gordon K Smyth:92	2.63	2.107	41	1	https://github.com/cran/limma	Smyth GK, Speed T. Normalization of cDNA microarray data. Methods. 2003 Dec 1;31(4):265-73.	
limpic	2007	BMC bioinformatics	2.576	74	93	135	Andrea Urbani:39	Andrea Urbani:2.05	Andrea Urbani:53	2.21	NA	NA	NA	NA	Mantini, D., Petrucci, F., Pieragostino, D., Del Boccio, P., Di Nicola, M., Di Ilio, C., Federici, G., Sacchetta, P., Comani, S. and Urbani, A., 2007. LIMPIC: a computational method for the separation of protein MALDI-TOF-MS signals from noise. BMC bioinformatics, 8(1), p.1.	
lmat	2013	Bioinformatics	4.981	106	29	167	Jonathan E Allen:15	Jonathan E Allen:1.15	Jonathan E Allen:24	1.33	1.24	86	2	https://github.com/LivGen/LMAT	Ames, Sasha K., David A. Hysom, Shea N. Gardner, G. Scott Lloyd, Maya B. Gokhale, and Jonathan E. Allen. "Scalable metagenomic taxonomy classification using a reference genome database." Bioinformatics 29, no. 18 (2013): 2253-2260.	
lms	2003	Biostatistics	2.649	29	289	323	Yutaka Yasui:85	Yutaka Yasui:4.25	Yutaka Yasui:107	4.12	NA	NA	NA	NA	Yasui, Y., Pepe, M., Thompson, M.L., Adam, B.L., Wright, G.L., Qu, Y., Potter, J.D., Winget, M., Thornquist, M. and Feng, Z., 2003. A data‐analytic strategy for protein biomarker discovery: profiling of high‐dimensional proteomic data for cancer detection. Biostatistics, 4(3), pp.449-463.	
lofreq	2012	Nucleic acids research	9.100	172	66	515	 Niranjan Nagarajan:23	 Niranjan Nagarajan:2.09	 Niranjan Nagarajan:44	2.44	1	2505	5	https://github.com/CSB5/lofreq	Wilm, A., Aw, P.P.K., Bertrand, D., Yeo, G.H.T., Ong, S.H., Wong, C.H., Khor, C.C., Petric, R., Hibberd, M.L. and Nagarajan, N., 2012. LoFreq: a sequence-quality aware, ultra-sensitive variant caller for uncovering cell-population heterogeneity from high-throughput sequencing datasets. Nucleic acids research, p.gks918.	
lordec	2014	Bioinformatics	NA	NA	NA	323	NA		Eric Rivals:28	1.04	1	NA	NA	NA	Salmela L, Rivals E. LoRDEC: accurate and efficient long read error correction. Bioinformatics. 2014;30:3506–14.	
lsc	2012	PLoS One	NA	NA	NA	276	NA		Wing Hung Wong:82	2.22	1	NA	NA	NA	Au KF, Underwood JG, Lee L, Wong WH. Improving PacBio long read accuracy by short read alignment. PLoS One. 2012;7(10):e46679.	
lsqman	1996	Acta Crystallographica Section D: Biological Crystallography	NA	36	556	676	NA	NA	NA	NA	NA	NA	NA	NA	Kleywegt, G. J. (1996). Use of non-crystallographic symmetry in protein structure refinement. Acta Crystallographica Section D: Biological Crystallography, 52(4), 842-857.	
lumpy	2014	Genome biology	NA	NA	NA	682	NA		Aaron Quinlan:40	3.08	1.31	572	16	https://github.com/arq5x/lumpy-sv	Layer RM, Chiang C, Quinlan AR, Hall IM. LUMPY: a probabilistic framework for structural variant discovery. Genome biology. 2014 Jun 1;15(6):R84.	
mafft	2008; 2005	Briefings in bioinformatics; Nucleic acids research	9.617; 9.112	46; 172	1829; 2534	3141; 4050	Kazutaka Katoh:22	Kazutaka Katoh:1.57	Kazutaka Katoh:33	1.27	7.471	NA	NA	NA	Katoh, Kazutaka, and Hiroyuki Toh. "Recent developments in the MAFFT multiple sequence alignment program." Briefings in bioinformatics 9, no. 4 (2008): 286-298.; Katoh, Kazutaka, Kei-ichi Kuma, Hiroyuki Toh, and Takashi Miyata. "MAFFT version 5: improvement in accuracy of multiple sequence alignment." Nucleic acids research 33, no. 2 (2005): 511-518.	
mafftfftns	2008; 2005	Briefings in bioinformatics; Nucleic acids research	9.617; 9.112	46; 172	1829; 2534	3141; 4050	Kazutaka Katoh:22	Kazutaka Katoh:1.57	Kazutaka Katoh:33	1.27	7.471	NA	NA	NA	Katoh, Kazutaka, and Hiroyuki Toh. "Recent developments in the MAFFT multiple sequence alignment program." Briefings in bioinformatics 9, no. 4 (2008): 286-298.; Katoh, Kazutaka, Kei-ichi Kuma, Hiroyuki Toh, and Takashi Miyata. "MAFFT version 5: improvement in accuracy of multiple sequence alignment." Nucleic acids research 33, no. 2 (2005): 511-518.	
mafftfftns2	2008; 2005	Briefings in bioinformatics; Nucleic acids research	9.617; 9.112	46; 172	1829; 2534	3141; 4050	Kazutaka Katoh:22	Kazutaka Katoh:1.57	Kazutaka Katoh:33	1.27	7.471	NA	NA	NA	Katoh, Kazutaka, and Hiroyuki Toh. "Recent developments in the MAFFT multiple sequence alignment program." Briefings in bioinformatics 9, no. 4 (2008): 286-298.; Katoh, Kazutaka, Kei-ichi Kuma, Hiroyuki Toh, and Takashi Miyata. "MAFFT version 5: improvement in accuracy of multiple sequence alignment." Nucleic acids research 33, no. 2 (2005): 511-518.	
mafftginsi	2008; 2005	Briefings in bioinformatics; Nucleic acids research	9.617; 9.112	46; 172	1829; 2534	3141; 4050	Kazutaka Katoh:22	Kazutaka Katoh:1.57	Kazutaka Katoh:33	1.27	7.471	NA	NA	NA	Katoh, Kazutaka, and Hiroyuki Toh. "Recent developments in the MAFFT multiple sequence alignment program." Briefings in bioinformatics 9, no. 4 (2008): 286-298.; Katoh, Kazutaka, Kei-ichi Kuma, Hiroyuki Toh, and Takashi Miyata. "MAFFT version 5: improvement in accuracy of multiple sequence alignment." Nucleic acids research 33, no. 2 (2005): 511-518.	
mafftlinsi	2008; 2005	Briefings in bioinformatics; Nucleic acids research	9.617; 9.112	46; 172	1829; 2534	3141; 4050	Kazutaka Katoh:22	Kazutaka Katoh:1.57	Kazutaka Katoh:33	1.27	7.471	NA	NA	NA	Katoh, Kazutaka, and Hiroyuki Toh. "Recent developments in the MAFFT multiple sequence alignment program." Briefings in bioinformatics 9, no. 4 (2008): 286-298.; Katoh, Kazutaka, Kei-ichi Kuma, Hiroyuki Toh, and Takashi Miyata. "MAFFT version 5: improvement in accuracy of multiple sequence alignment." Nucleic acids research 33, no. 2 (2005): 511-518.	
manta	2016	Bioinformatics	NA	NA	NA	465	NA		Christopher T Saunders:8	0.44	1.6	2631	12	https://github.com/Illumina/manta	Chen X, Schulz-Trieglaff O, Shaw R, Barnes B, Schlesinger F, Källberg M, Cox AJ, Kruglyak S, Saunders CT. Manta: rapid detection of structural variants and indels for germline and cancer sequencing applications. Bioinformatics. 2016 Apr 15;32(8):1220-2.	
mapsplice	2010	Nucleic acids research	9.100	172	332	946	NA	NA	NA	NA	3	32	3	https://github.com/LiuBioinfo/MapSplice	Wang, K., Singh, D., Zeng, Z., Coleman, S.J., Huang, Y., Savich, G.L., He, X., Mieczkowski, P., Grimm, S.A., Perou, C.M. and MacLeod, J.N., 2010. MapSplice: accurate mapping of RNA-seq reads for splice junction discovery. Nucleic acids research, 38(18), pp.e178-e178.	
maq	2008	Genome research	14.630	107	2063	3046	Richard Durbin:104	Richard Durbin:4.95	Richard Durbin:135	3.97	NA	NA	NA	NA	Li, H., Ruan, J., & Durbin, R. (2008). Mapping short DNA sequencing reads and calling variants using mapping quality scores. Genome Research, 18(11), 1851–8. doi:10.1101/gr.078212.108	
mast	2015	Genome Biology				648			Raphael Gottardo:44	2.44	6	135	9	https://github.com/RGLab/MAST	Finak G, McDavid A, Yajima M, Deng J, Gersuk V, Shalek AK, Slichter CK, Miller HW, McElrath MJ, Prlic M, Linsley PS. MAST: a flexible statistical framework for assessing transcriptional changes and characterizing heterogeneity in single-cell RNA sequencing data. Genome biology. 2015 Dec;16(1):1-3.	
matchclip	2013	Frontiers in genetics	NA	NA	NA	15	NA		Hongzhe Li, PhD:71	2.84	1	1	1	https://github.com/yhwu/matchclips	Wu Y, Tian L, Pirastu M, Stambolian D, Li H. MATCHCLIP: locate precise breakpoints for copy number variation using CIGAR string by matching soft clipped reads. Frontiers in genetics. 2013 Aug 16;4:157.	
matcher	2017	Genome biology	NA	NA	NA	41	NA		Jan F. Prins:45	1.36	1	NA	NA	NA	Welch JD, Hartemink AJ, Prins JF. MATCHER: manifold alignment reveals correspondence between single cell transcriptome and epigenome dynamics. Genome biology. 2017 Dec;18(1):1-9.	
mats	2012	Nucleic acids research	9.112	172	73	251	Yi Xing:36	Yi Xing:3.27	Yi Xing:52	3.06	NA	NA	NA	NA	Shen, Shihao, Juw Won Park, Jian Huang, Kimberly A. Dittmar, Zhi-xiang Lu, Qing Zhou, Russ P. Carstens, and Yi Xing. "MATS: a Bayesian framework for flexible detection of differential alternative splicing from RNA-Seq data." Nucleic acids research (2012): gkr1291.	
meerkat	2013	Cell	NA	NA	NA	271	NA		Peter J Park:102	5.10	1.189	NA	NA	NA	Yang L, Luquette LJ, Gehlenborg N, Xi R, Haseley PS, Hsieh CH, Zhang C, Ren X, Protopopov A, Chin L, Kucherlapati R. Diverse mechanisms of somatic structural variations in human cancer genomes. Cell. 2013 May 9;153(4):919-29.	
megan	2007; 2011	Genome research; Genome research	14.630	107	1108; 488	2472; 	Daniel H. Huson:51; Stephan C. Schuster:61	Daniel H. Huson:3.4; Stephan C. Schuster:3.05	Daniel H. Huson:69; Stephan C. Schuster:74	2.09 ;2.39	2	578	2	https://github.com/husonlab/megan-ce	Huson, Daniel H., Alexander F. Auch, Ji Qi, and Stephan C. Schuster. "MEGAN analysis of metagenomic data." Genome research 17, no. 3 (2007): 377-386.; Huson, Daniel H., Suparna Mitra, Hans-Joachim Ruscheweyh, Nico Weber, and Stephan C. Schuster. "Integrative analysis of environmental sequences using MEGAN4." Genome research 21, no. 9 (2011): 1552-1560.	
merlot	2019	Nucleic acids research	NA	NA	NA	10	NA		Johannes Söding:56	2.00	1	212	4	https://github.com/soedinglab/merlot	Parra RG, Papadopoulos N, Ahumada-Arranz L, Kholtei JE, Mottelson N, Horokhovsky Y, Treutlein B, Soeding J. Reconstructing complex lineage trees from scRNA-seq data using MERLoT. Nucleic acids research. 2019 Sep 26;47(17):8961-74.	
metaflow	2016	International Conference on Research in Computational Molecular Biology 	NA	NA	NA	13	NA		Veli Mäkinen:34	1.70	1	NA	NA	NA	Sobih A, Tomescu AI, Mäkinen V. MetaFlow: Metagenomic profiling based on whole-genome coverage analysis with min-cost flows. InInternational Conference on Research in Computational Molecular Biology 2016 Apr 17 (pp. 111-121). Springer, Cham.	
metaphlan	2012	Nature methods	32.072	125	229	1097	Curtis Huttenhower:42	Curtis Huttenhower:5.25	Curtis Huttenhower:96	4.80	3.03	381	6	https://github.com/biobakery/MetaPhlAn	Segata, Nicola, Levi Waldron, Annalisa Ballarini, Vagheesh Narasimhan, Olivier Jousson, and Curtis Huttenhower. "Metagenomic microbial community profiling using unique clade-specific marker genes." Nature methods 9, no. 8 (2012): 811-814.	
metaphyler	2010	Bioinformatics and Biomedicine (BIBM), 2010 IEEE International Conference on	NA	14	32	82	Mihai Pop:42	Mihai Pop:3.5	Mihai Pop:56	2.33	1	3	1	https://github.com/boliu6/MetaPhyler	Liu, Bo, Theodore Gibbons, Mohammad Ghodsi, and Mihai Pop. "MetaPhyler: Taxonomic profiling for metagenomic sequences." In Bioinformatics and Biomedicine (BIBM), 2010 IEEE International Conference on, pp. 95-100. IEEE, 2010.	
